,size,strength,best_pred
0,5,3,-9.2995
1,5,6,-9.04493
2,5,10,-9.003565
3,5,14,-9.000283
4,6,3,-13.544229
5,6,6,-12.48781
6,6,10,-12.094943
7,6,14,-12.01817
8,7,3,-17.552961
9,7,6,-16.20758
10,7,10,-15.956512
11,7,14,-15.883113
12,8,3,-22.042901
13,8,6,-19.161862
14,8,10,-18.275118
15,8,14,-18.076248
16,9,3,-26.778449
17,9,6,-22.330837
18,9,10,-21.213531
19,9,14,-21.037957
20,10,3,-31.519768
21,10,6,-25.503904
22,10,10,-24.204958
23,10,14,-24.031994
24,11,3,-37.930817
25,11,6,-28.795153
26,11,10,-23.666072
27,11,14,
